Student ID,Student Name,Password,Islamic Studies,Arabic Language,English Language,Mathematics,General Science,Social Studies,Physical Education,Visual Arts,Music Arts,Total Marks
OM001,حسن بن طارق Al Mahruqi,309140,32,62,99,46,67,22,38,65,3,434
OM002,سالم بن زيد Al Qasabi,404006,33,8,32,20,56,29,69,69,89,405
OM003,سالم بن حمود Al Wahibi,972648,22,9,90,80,14,9,65,55,50,394
OM004,سالم بن فيصل Al Ajmi,208700,90,44,26,79,32,43,70,41,4,429
OM005,فهد بن بدر Al Nabhani,454444,54,5,29,95,85,84,82,59,58,551
OM006,سالم بن ناصر Al Hinai,567203,64,49,78,37,28,26,89,36,37,444
OM007,عبدالله بن حسن Al Siyabi,221355,78,93,54,83,38,16,20,12,30,424
OM008,مروان بن حمود Al Maawali,817347,1,98,92,11,17,21,69,91,55,455
OM009,حسن بن زيد Al Zaabi,208402,81,11,13,9,4,62,85,91,13,369
OM010,طارق بن محمد Al Wahibi,614446,53,65,11,65,23,41,35,95,51,439
OM011,سالم بن خالد Al Azri,236292,50,22,31,29,33,34,81,29,37,346
OM012,حسن بن عبدالله Al Jabri,720384,45,100,32,35,57,82,2,87,22,462
OM013,سيف بن ماجد Al Bayani,424441,52,74,33,10,29,98,28,38,91,453
OM014,عبدالله بن ياسر Al Tobi,748161,73,35,88,5,19,60,62,75,39,456
OM015,حسن بن فهد Al Abri,626521,40,52,99,24,5,4,97,56,91,468
OM016,علي بن عبدالله Al Hadhrami,579838,32,97,42,63,2,46,5,77,25,389
OM017,أحمد بن عبدالله Al Noaimi,267833,18,32,79,2,49,6,25,83,99,393
OM018,سعيد بن سالم Al Bakri,386809,45,77,36,80,44,9,90,59,5,445
OM019,سليمان بن أحمد Al Aufi,842293,32,38,40,58,66,71,40,84,10,439
OM020,سيف بن أحمد Al Zubairi,515968,41,2,52,42,70,84,78,41,65,475
OM021,ناصر بن محمد Al Juma,397432,61,48,80,27,43,14,24,50,44,391
OM022,عبدالله بن خالد Al Musalmi,660913,28,37,90,71,25,80,59,40,32,462
OM023,سليمان بن حمود Al Ghafri,858384,47,38,42,44,59,93,30,15,8,376
OM024,مروان بن طارق Al Wahaibi,226270,90,96,89,56,13,88,97,40,12,581
OM025,ياسر بن ناصر Al Lawati,578968,61,97,21,47,43,7,69,78,43,466
OM026,أحمد بن سليمان Al Maamari,978026,63,62,66,57,15,59,5,29,31,387
OM027,فيصل بن ناصر Al Junaibi,525322,13,42,10,29,58,48,38,36,21,295
OM028,أحمد بن فهد Al Awadi,918576,67,85,17,72,76,13,39,7,8,384
OM029,ماجد بن ماجد Al Tobi,896804,99,21,70,75,23,15,95,61,25,484
OM030,ياسر بن حسن Al Aghbari,874014,92,100,49,21,93,7,21,44,0,427
OM031,حسن بن سالم Al Qasabi,288159,3,32,23,66,77,3,43,12,30,289
OM032,فهد بن ياسر Al Balushi,891733,54,75,30,91,66,84,41,64,39,544
OM033,مروان بن عبدالله Al Dahmani,402451,89,62,48,11,13,1,36,87,70,417
OM034,حسن بن حسن Al Junaibi,420042,1,91,43,97,63,53,4,14,92,458
OM035,علي بن سليمان Al Shamsi,871529,45,6,80,56,32,9,0,23,50,301
OM036,سليمان بن علي Al Wahaibi,886919,74,76,43,32,83,96,63,11,60,538
OM037,ناصر بن حمود Al Mandhari,442439,78,35,7,57,34,51,81,75,100,518
OM038,فهد بن زيد Al Fannah,834443,77,81,23,4,10,49,49,93,12,398
OM039,فهد بن بدر Al Dahmani,336174,2,66,79,72,23,37,17,66,51,413
OM040,سالم بن حسن Al Harthi,231890,42,14,46,56,73,11,58,33,68,401
OM041,سعيد بن حسن Al Wahibi,430286,0,6,3,91,85,14,8,17,41,265
OM042,سعيد بن سعيد Al Wahibi,525677,67,99,15,60,50,36,82,42,14,465
OM043,سليمان بن سالم Al Aghbari,264507,18,35,35,66,19,38,57,98,68,434
